service	usage_type	item_description	name	unblended_cost
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtstore2-prd /dev/xvdb	192.7353953
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtstore1-prd /dev/sdb	181.8073239
mrt	USW2-BoxUsage:m4.xlarge	$0.20 per On Demand Linux m4.xlarge Instance Hour	uc3-mrtexpress-prd-2a	144
mrt	USW2-BoxUsage:c4.xlarge	$0.199 per On Demand Linux c4.xlarge Instance Hour	uc3-mrtreplic1-prd	143.28
mrt	USW2-BoxUsage:c4.xlarge	$0.199 per On Demand Linux c4.xlarge Instance Hour	uc3-mrtreplic2-prd	143.28
mrt	USW2-BoxUsage:c4.xlarge	$0.199 per On Demand Linux c4.xlarge Instance Hour	uc3-mrtstore-stg	143.28
mrt	USW2-BoxUsage:c4.xlarge	$0.199 per On Demand Linux c4.xlarge Instance Hour	uc3-mrtstore1-prd	143.28
mrt	USW2-BoxUsage:c4.xlarge	$0.199 per On Demand Linux c4.xlarge Instance Hour	uc3-mrtstore2-prd	143.28
mrt	USW2-BoxUsage:c4.xlarge	$0.199 per On Demand Linux c4.xlarge Instance Hour	uc3-mrtstore2-stg	143.28
mrt	USW2-Multi-AZUsage:db.m4.large	$0.350 per RDS db.m4.large Multi-AZ instance hour (or partial hour) running MySQL	(not set)	131.25
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtstore2-dev /dev/xvdb	110
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtstore2-prd /dev/xvdb	110
mrt	USW1-EBS:SnapshotUsage	$0.055 per GB-Month of snapshot data stored - US West (Northern California)	uc3-mrtaudit1-prd	109.7788896
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtui01-prd /dev/sdc	108
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtui02-prd /dev/sdc	108
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtui03-prd /dev/sdc	108
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtreplic1-prd /dev/sdb	106
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtstore-stg /dev/sdb	106
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtstore1-prd /dev/sdb	106
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-ingest01-prd /dev/sdb	100
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-ingest02-prd /dev/sdb	100
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-ingest03-prd /dev/sdb	100
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtaudit1-prd /dev/sdc	100
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtaudit2-prd /dev/sdc	100
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtaudit3-prd /dev/sdc	100
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtaudit4-prd /dev/sdc	100
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtreplic2-prd /dev/sdc	100
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtstore2-stg /dev/sdb	100
mrt	USW2-RDS:Multi-AZ-GP2-Storage	$0.230 per GB-month of provisioned GP2 storage for Multi-AZ deployments	(not set)	92.00000002
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtstore2-stg /dev/sdb	89.05012601
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtreplic1-prd /dev/sdb	86.71687416
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-ingest02-prd /dev/sdb	81.94553033
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-ingest03-prd /dev/sdb	79.95894053
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-ingest01-prd /dev/sdb	74.90490133
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtreplic2-prd /dev/sdc	74.35912685
mrt	USW2-BoxUsage:c4.large	$0.1 per On Demand Linux c4.large Instance Hour	uc3-mrtreplic2-dev	72
mrt	USW2-BoxUsage:m4.large	$0.10 per On Demand Linux m4.large Instance Hour	uc3-ingest01-prd	72
mrt	USW2-BoxUsage:m4.large	$0.10 per On Demand Linux m4.large Instance Hour	uc3-ingest02-prd	72
mrt	USW2-BoxUsage:m4.large	$0.10 per On Demand Linux m4.large Instance Hour	uc3-ingest03-prd	72
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtaudit4-prd /dev/sdb	68.9895929
mrt	USW1-EBS:SnapshotUsage	$0.055 per GB-Month of snapshot data stored - US West (Northern California)	uc3-mrtstore1-prd	62.67487563
mrt	USW1-EBS:SnapshotUsage	$0.055 per GB-Month of snapshot data stored - US West (Northern California)	uc3-mrtstore2-prd	61.15360542
mrt	USW2-EBS:SnapshotUsage	$0.05 per GB-Month of snapshot data stored - US West (Oregon)	uc3-mrtstore2-dev /dev/xvdb	53.55060045
mrt	USW2-EBS:VolumeUsage.gp2	$0.10 per GB-month of General Purpose SSD (gp2) provisioned storage - US West (Oregon)	uc3-mrtdataone-prd /dev/sdb	52.99999999
mrt	USW1-EBS:SnapshotUsage	$0.055 per GB-Month of snapshot data stored - US West (Northern California)	uc3-mrtreplic1-prd	51.3934792
mrt	USW2-BoxUsage:m4.large	$0.10 per On Demand Linux m4.large Instance Hour	uc3-mrtweb-prd	50.4
mrt	USW2-BoxUsage:c4.xlarge	$0.199 per On Demand Linux c4.xlarge Instance Hour	uc3-mrtstore2-dev	49.33641213
mrt	USW1-EBS:SnapshotUsage	$0.055 per GB-Month of snapshot data stored - US West (Northern California)	uc3-ingest01-prd	48.9384718
